,_time,Protocol,Count,Traffic,class_1,class_2
344,2023-04-12 18:15:08.707596+00:00,ARP,6,360,normal,normal
345,2023-04-12 18:15:13.918198+00:00,ARP,4,240,normal,normal
346,2023-04-12 18:15:19.003186+00:00,ARP,7,420,normal,normal
347,2023-04-12 18:15:24.349866+00:00,ARP,6,342,normal,normal
348,2023-04-12 18:15:29.576347+00:00,ARP,3,180,normal,normal
349,2023-04-12 18:15:34.800022+00:00,ARP,4,240,normal,normal
350,2023-04-12 18:15:40.043253+00:00,ARP,9,540,normal,normal
351,2023-04-12 18:15:45.246891+00:00,ARP,6,360,normal,normal
352,2023-04-12 18:15:50.411610+00:00,ARP,8,480,normal,normal
353,2023-04-12 18:15:55.635536+00:00,ARP,8,462,normal,normal
354,2023-04-12 18:16:00.860390+00:00,ARP,12,720,normal,normal
355,2023-04-12 18:16:06.039757+00:00,ARP,5,300,normal,normal
356,2023-04-12 18:16:11.172851+00:00,ARP,13,780,normal,normal
357,2023-04-12 18:16:16.430531+00:00,ARP,17,1020,normal,normal
358,2023-04-12 18:16:21.613275+00:00,ARP,9,504,normal,normal
359,2023-04-12 18:16:26.901948+00:00,ARP,15,900,normal,normal
360,2023-04-12 18:16:32.035543+00:00,ARP,5,300,normal,normal
361,2023-04-12 18:16:37.234325+00:00,ARP,10,600,normal,normal
362,2023-04-12 18:16:42.429622+00:00,ARP,8,480,normal,normal
363,2023-04-12 18:16:47.574293+00:00,ARP,8,480,normal,normal
364,2023-04-12 18:16:52.924529+00:00,ARP,7,402,normal,normal
365,2023-04-12 18:16:58.111091+00:00,ARP,10,600,normal,normal
366,2023-04-12 18:17:03.367169+00:00,ARP,5,300,normal,normal
367,2023-04-12 18:17:08.474249+00:00,ARP,11,660,normal,normal
368,2023-04-12 18:17:13.799090+00:00,ARP,3,180,normal,normal
369,2023-04-12 18:17:19.028772+00:00,ARP,4,240,normal,normal
370,2023-04-12 18:17:24.145803+00:00,ARP,11,624,normal,normal
371,2023-04-12 18:17:29.361418+00:00,ARP,2,120,normal,normal
372,2023-04-12 18:17:34.534681+00:00,ARP,3,180,normal,normal
373,2023-04-12 18:17:39.799950+00:00,ARP,9,540,normal,normal
374,2023-04-12 18:17:44.987734+00:00,ARP,9,540,normal,normal
375,2023-04-12 18:17:50.246352+00:00,ARP,7,420,normal,normal
376,2023-04-12 18:17:55.427590+00:00,ARP,11,642,normal,normal
377,2023-04-12 18:18:00.678194+00:00,ARP,14,840,normal,normal
378,2023-04-12 18:18:05.818306+00:00,ARP,6,360,normal,normal
379,2023-04-12 18:18:10.971552+00:00,ARP,12,720,normal,normal
380,2023-04-12 18:18:16.223889+00:00,ARP,13,780,normal,normal
381,2023-04-12 18:18:21.478229+00:00,ARP,15,864,normal,normal
382,2023-04-12 18:18:26.650974+00:00,ARP,17,1020,normal,normal
383,2023-04-12 18:18:31.901002+00:00,ARP,13,780,normal,normal
